order_id,order_date,region,city,category,product,units,unit_price,discount_pct,cost_per_unit,returned,channel
NW-10024,2026-01-26,,Kolkata,Home,Storage Box,7,499,0,180,no,store
NW-10025,2026-01-27,West,Pune,Grocery,Filter Coffee,6,449,0,210,no,store
NW-10026,2026-01-28,South,Chennai,Home,Desk Lamp,2,1299,15,540,no,online
NW-10027,2026-01-29,West,Mumbai,Apparel,Cotton Tee,1,699,0,240,no,store
NW-10028,2026-01-30,South,Hyderabad,Apparel,Running Socks,7,299,0,90,no,store
NW-10029,2026-01-31,North,Lucknow,Electronics,USB-C Hub,6,1499,15,820,no,online
NW-10030,2026-02-01,West,Ahmedabad,Electronics,Laptop Stand,6,2199,0,1100,no,store
NW-10031,2026-02-02,West,Ahmedabad,Grocery,Basmati 5kg,4,649,0,380,no,store
NW-10032,2026-02-03,North,Delhi,Electronics,USB-C Hub,4,1499,0,820,yes,online
NW-10033,2026-02-04,West,Ahmedabad,Apparel,Running Socks,5,299,15,90,no,store
NW-10034,2026-02-05,South,Chennai,Grocery,Filter Coffee,7,449,0,210,no,store
NW-10035,2026-02-06,West,Mumbai,Home,Storage Box,3,499,0,180,no,online
NW-10036,2026-02-07,West,Mumbai,Electronics,USB-C Hub,2,1499,0,820,no,store
NW-10037,2026-02-08,West,Ahmedabad,Electronics,USB-C Hub,8,1499,0,820,no,store
NW-10038,2026-02-09,West,Pune,Home,Cotton Throw,7,1599,0,720,no,online
NW-10039,2026-02-10,North,Lucknow,Apparel,Denim Jacket,6,2499,0,1050,yes,store
NW-10040,2026-02-11,North,Jaipur,Home,Desk Lamp,6,1299,0,540,no,store
NW-10041,2026-02-12,East,Patna,Electronics,Laptop Stand,5,2199,0,1100,no,online
NW-10042,2026-02-12,South,Chennai,electronics,Filter Coffee,8,449,0,210,no,store
NW-10043,2026-02-13,East,Patna,Electronics,Wireless Mouse,2,899,0,410,no,store
NW-10044,2026-02-14,South,Hyderabad,Electronics,Wireless Mouse,6,899,15,410,no,online
NW-10045,2026-02-15,East,Kolkata,Electronics,Wireless Mouse,6,899,0,410,no,store
NW-10046,2026-02-16,South,Hyderabad,Grocery,Basmati 5kg,7,649,0,380,no,store
NW-10047,2026-02-17,North,Jaipur,Home,Storage Box,1,499,10,180,no,online
NW-10048,2026-02-18,North,Delhi,Apparel,Denim Jacket,8,2499,0,1050,no,store
NW-10049,2026-02-19,South,Chennai,Electronics,Laptop Stand,6,2199,0,1100,no,store
NW-10050,2026-02-20,South,Hyderabad,Electronics,USB-C Hub,6,1499,0,820,no,online
NW-10051,2026-02-21,North,Lucknow,Grocery,Olive Oil 1L,8,799,0,430,no,store
NW-10052,2026-02-22,North,Jaipur,Home,Cotton Throw,8,1599,0,720,no,store
NW-10053,2026-02-23,West,Ahmedabad,Grocery,Filter Coffee,3,449,0,210,no,online
NW-10054,2026-02-24,South,Chennai,Apparel,Running Socks,8,299,0,90,no,store
NW-10055,2026-02-25,North,Lucknow,Electronics,Wireless Mouse,-2,899,5,410,no,store
NW-10056,2026-02-26,North,Lucknow,Electronics,Wireless Mouse,1,899,0,410,no,online
NW-10057,2026-02-27,East,Kolkata,Home,Cotton Throw,3,1599,0,720,no,store
NW-10058,2026-02-28,North,Lucknow,Apparel,Cotton Tee,7,699,0,240,no,store
NW-10059,2026-03-01,North,Jaipur,Grocery,Filter Coffee,2,449,0,210,no,online
NW-10060,2026-03-02,West,Mumbai,Apparel,Cotton Tee,4,699,0,240,no,store
NW-10061,2026-03-03,East,Kolkata,Grocery,Filter Coffee,3,449,0,210,no,store
NW-10062,2026-03-03,East,Kolkata,Electronics,USB-C Hub,8,1499,15,820,no,online
NW-10063,2026-03-04,West,Mumbai,Home,Desk Lamp,3,1299,0,540,no,store
NW-10064,2026-03-05,North,Lucknow,Home,Desk Lamp,2,1299,15,540,no,store
NW-10065,2026-03-06,North,Jaipur,Electronics,USB-C Hub,3,1499,15,820,no,online
NW-10066,2026-03-07,South,Chennai,Apparel,Denim Jacket,8,2499,0,1050,no,store
NW-10067,2026-03-08,South,Bengaluru,Home,Cotton Throw,6,1599,0,720,no,store
NW-10068,2026-03-09,West,Mumbai,Electronics,USB-C Hub,7,1499,0,820,no,online
NW-10069,2026-03-10,East,Bhubaneswar,Electronics,USB-C Hub,7,1499,0,820,no,store
NW-10070,2026-03-11,South,Hyderabad,Grocery,Filter Coffee,7,449,0,210,no,store
NW-10071,2026-03-12,West,Ahmedabad,Grocery,Filter Coffee,5,449,0,210,no,online
NW-10072,2026-03-13,East,Bhubaneswar,Electronics,Laptop Stand,7,2199,0,1100,no,store
NW-10073,2026-03-14,East,Bhubaneswar,Apparel,Running Socks,2,299,0,90,no,store
NW-10074,2026-03-15,South,Chennai,Apparel,Denim Jacket,8,2499,0,1050,no,online
NW-10075,2026-03-16,North,Lucknow,Grocery,Olive Oil 1L,6,799,0,430,no,store
NW-10076,2026-03-17,West,Ahmedabad,Grocery,Filter Coffee,5,449,0,210,no,store
NW-10077,2026-03-18,North,Jaipur,Electronics,Wireless Mouse,3,899,0,410,no,online
NW-10078,2026-03-19,West,Pune,Apparel,Running Socks,7,299,0,90,no,store
NW-10079,2026-03-20,North,Delhi,Home,Storage Box,1,499,0,180,no,store
NW-10080,2026-03-21,South,Hyderabad,Grocery,Olive Oil 1L,2,799,0,430,no,online
NW-10081,2026-03-22,North,Lucknow,Home,Desk Lamp,4,1299,0,540,no,store
NW-10082,2026-03-22,West,Pune,Electronics,Wireless Mouse,6,899,0,410,no,store
NW-10083,2026-03-23,North,Lucknow,Grocery,Basmati 5kg,3,649,5,380,no,online
NW-10084,2026-03-24,East,Patna,Home,Storage Box,1,499,0,180,no,store
NW-10085,2026-03-25,East,Patna,Home,Desk Lamp,4,1299,0,540,no,store
NW-10086,2026-03-26,North,Lucknow,Electronics,Laptop Stand,4,2199,0,1100,no,online
NW-10087,2026-03-27,East,Kolkata,Electronics,Laptop Stand,3,2199,0,1100,no,store
NW-10088,2026-03-28,West,Pune,Home,Storage Box,1,499,0,180,no,store
NW-10089,2026-03-29,,Ahmedabad,Home,Storage Box,5,499,0,180,no,online
NW-10090,2026-03-30,South,Chennai,Apparel,Denim Jacket,6,2499,0,1050,no,store
NW-10013,2026-03-31,South,Hyderabad,Electronics,Wireless Mouse,7,899,5,410,no,store
NW-10092,2026-04-01,South,Hyderabad,Home,Storage Box,3,499,0,180,no,online
NW-10093,2026-04-02,South,Bengaluru,Electronics,Laptop Stand,5,2199,0,1100,no,store
NW-10094,2026-04-03,East,Bhubaneswar,Grocery,Olive Oil 1L,6,799,0,430,no,store
NW-10095,2026-04-04,North,Jaipur,Grocery,Basmati 5kg,3,649,0,380,no,online
NW-10096,2026-04-05,South,Bengaluru,Grocery,Basmati 5kg,7,649,0,380,no,store
NW-10097,2026-04-06,South,Bengaluru,Apparel,Denim Jacket,1,2499,0,1050,no,store
NW-10098,2026-04-07,North,Delhi,Electronics,Wireless Mouse,2,899,0,410,no,online
NW-10099,2026-04-08,North,Jaipur,Apparel,Cotton Tee,7,699,0,240,no,store
NW-10100,2026-04-09,West,Ahmedabad,Apparel,Cotton Tee,3,699,5,240,no,store
NW-10101,2026-04-10,West,Pune,Grocery,Filter Coffee,1,449,0,210,no,online
NW-10102,2026-04-10,West,Mumbai,Grocery,Olive Oil 1L,4,799,0,430,no,store
NW-10103,2026-04-11,West,Pune,Home,Storage Box,5,499,0,180,no,store
NW-10104,2026-04-12,East,Bhubaneswar,Electronics,USB-C Hub,3,1499,0,820,no,online
NW-10105,2026-04-13,West,Mumbai,Electronics,USB-C Hub,1,1499,0,820,yes,store
NW-10106,2026-04-14,South,Bengaluru,Electronics,Wireless Mouse,6,899,0,410,no,store
NW-10107,2026-04-15,East,Bhubaneswar,Home,Cotton Throw,6,1599,0,720,no,online
NW-10108,2026-04-16,South,Bengaluru,Grocery,Filter Coffee,7,449,0,210,no,store
NW-10109,2026-04-17,East,Bhubaneswar,Grocery,Olive Oil 1L,4,799,0,430,yes,store
NW-10110,2026-04-18,North,Lucknow,Apparel,Running Socks,1,299,0,90,no,online
NW-10111,2026-04-19,South,Chennai,Grocery,Filter Coffee,3,449,10,210,no,store
NW-10112,2026-04-20,South,Chennai,Electronics,USB-C Hub,5,1499,0,820,no,store
NW-10113,2026-04-21,North,Jaipur,Grocery,Basmati 5kg,6,649,5,380,no,online
NW-10114,2026-04-22,East,Kolkata,Home,Desk Lamp,5,1299,0,540,no,store
NW-10115,2026-04-23,South,Chennai,Apparel,Running Socks,8,299,15,90,no,store
NW-10116,2026-04-24,South,Bengaluru,Grocery,Olive Oil 1L,2,799,0,430,no,online
NW-10117,2026-04-25,South,Chennai,Apparel,Cotton Tee,1,699,10,240,no,store
NW-10118,2026-04-26,South,Bengaluru,Home,Storage Box,2,499,0,180,yes,store
NW-10119,2026-04-27,South,Bengaluru,Apparel,Cotton Tee,2,699,0,240,no,online
NW-10120,2026-04-28,West,Pune,Home,Storage Box,7,499,0,180,yes,store
NW-10121,2026-04-29,West,Pune,Grocery,Filter Coffee,5,449,0,210,no,store
NW-10122,2026-04-29,West,Mumbai,Apparel,Running Socks,1,0,0,90,no,online
NW-10123,2026-04-30,North,Jaipur,Electronics,Wireless Mouse,1,899,0,410,no,store
NW-10124,2026-05-01,East,Kolkata,Grocery,Filter Coffee,2,449,0,210,no,store
NW-10125,2026-05-02,West,Pune,Electronics,Wireless Mouse,7,899,0,410,no,online
NW-10126,2026-05-03,West,Mumbai,Home,Desk Lamp,1,1299,0,540,no,store
NW-10127,2026-05-04,West,Mumbai,Grocery,Filter Coffee,8,449,15,210,no,store
NW-10128,2026-05-05,South,Bengaluru,Home,Storage Box,4,499,0,180,no,online
NW-10129,2026-05-06,South,Bengaluru,Electronics,USB-C Hub,8,1499,0,820,no,store
NW-10130,2026-05-07,West,Mumbai,Grocery,Filter Coffee,2,449,0,210,no,store
NW-10131,2026-05-08,East,Kolkata,Apparel,Cotton Tee,6,699,0,240,no,online
NW-10132,2026-05-09,North,Jaipur,Electronics,Laptop Stand,1,2199,0,1100,no,store
NW-10133,2026-05-10,East,Kolkata,Home,Storage Box,1,499,0,180,yes,store
NW-10134,2026-05-11,West,Ahmedabad,Electronics,USB-C Hub,8,1499,0,820,no,online
NW-10135,2026-05-12,South,Bengaluru,Electronics,USB-C Hub,3,1499,0,820,no,store
NW-10136,2026-05-13,West,Ahmedabad,Electronics,USB-C Hub,2,1499,0,820,yes,store
NW-10137,2026-05-14,North,Lucknow,Grocery,Basmati 5kg,6,649,0,380,no,online
NW-10138,2026-05-15,West,Ahmedabad,Electronics,Wireless Mouse,1,899,0,410,no,store
NW-10139,2026-05-16,South,Bengaluru,Apparel,Cotton Tee,1,699,0,240,yes,store
NW-10140,2026-05-17,South,Chennai,Apparel,Denim Jacket,2,2499,0,1050,no,online
NW-10141,2026-05-18,West,Ahmedabad,Home,Storage Box,2,499,0,180,no,store
NW-10142,2026-05-18,West,Ahmedabad,Grocery,Filter Coffee,6,449,0,210,no,store
NW-10143,2026-05-19,East,Patna,Apparel,Running Socks,3,299,0,90,no,online
NW-10144,2026-05-20,West,Ahmedabad,Grocery,Basmati 5kg,5,649,0,380,no,store
NW-10145,2026-05-21,West,Mumbai,Home,Cotton Throw,2,1599,0,720,no,store
NW-10146,2026-05-22,West,Mumbai,Apparel,Cotton Tee,4,699,0,240,no,online
NW-10147,2026-05-23,West,Mumbai,Grocery,Filter Coffee,7,449,0,210,no,store
NW-10148,2026-05-24,South,Chennai,Apparel,Denim Jacket,4,2499,0,1050,no,store
NW-10149,2026-05-25,East,Patna,Electronics,Wireless Mouse,7,899,0,410,no,online
NW-10150,2026-05-26,North,Delhi,Grocery,Filter Coffee,4,449,0,210,no,store
NW-10151,2026-05-27,South,Bengaluru,Grocery,Olive Oil 1L,2,799,0,430,no,store
NW-10152,2026-05-28,North,Delhi,Apparel,Running Socks,1,299,0,90,no,online
NW-10153,2026-05-29,East,Kolkata,Electronics,Laptop Stand,2,2199,0,1100,no,store
NW-10154,2026-05-30,East,Patna,Grocery,Basmati 5kg,3,649,0,380,no,store
NW-10155,2026-05-31,South,Hyderabad,Electronics,USB-C Hub,1,1499,0,820,no,online
NW-10156,2026-06-01,South,Bengaluru,Home,Storage Box,1,499,0,180,no,store
NW-10157,2026-06-02,East,Patna,Electronics,Laptop Stand,6,2199,0,1100,no,store
NW-10158,2026-06-03,West,Ahmedabad,Grocery,Basmati 5kg,8,649,0,380,no,online
NW-10159,2026-06-04,North,Jaipur,Home,Cotton Throw,2,1599,15,720,no,store
NW-10160,2026-06-05,South,Bengaluru,Grocery,Basmati 5kg,3,649,0,380,no,store
NW-10161,2026-06-06,East,Patna,Home,Cotton Throw,6,1599,0,720,no,online
NW-10162,2026-06-06,North,Lucknow,Home,Cotton Throw,3,1599,0,720,no,store
NW-10163,2026-06-07,East,Kolkata,Electronics,Wireless Mouse,6,899,0,410,no,store
NW-10164,2026-06-08,North,Lucknow,Electronics,Wireless Mouse,6,899,10,410,no,online
NW-10165,2026-06-09,East,Bhubaneswar,Home,Desk Lamp,4,1299,0,540,no,store
NW-10166,2026-06-10,East,Patna,Electronics,USB-C Hub,7,1499,0,820,no,store
NW-10167,2026-06-11,North,Jaipur,Apparel,Cotton Tee,6,699,0,240,no,online
NW-10168,2026-06-12,East,Bhubaneswar,Electronics,USB-C Hub,8,1499,0,820,no,store
NW-10169,2026-06-13,North,Lucknow,Electronics,Laptop Stand,5,2199,0,1100,no,store
NW-10170,2026-06-14,East,Patna,Electronics,USB-C Hub,8,1499,0,820,no,online
NW-10171,2026-06-15,West,Ahmedabad,Home,Storage Box,6,499,0,180,no,store
NW-10172,2026-06-16,West,Mumbai,Grocery,Filter Coffee,3,449,15,210,no,store
NW-10173,2026-06-17,South,Chennai,Grocery,Basmati 5kg,8,649,0,380,no,online
NW-10174,2026-06-18,North,Jaipur,Grocery,Filter Coffee,8,449,0,210,no,store
NW-10175,2026-06-19,West,Ahmedabad,Apparel,Denim Jacket,7,2499,5,1050,no,store
NW-10176,2026-06-20,North,Lucknow,Apparel,Cotton Tee,7,699,0,240,no,online
NW-10177,2026-06-21,North,Lucknow,Grocery,Olive Oil 1L,6,799,0,430,no,store
NW-10178,2026-06-22,North,Lucknow,Home,Storage Box,7,499,0,180,yes,store
NW-10179,2026-06-23,South,Hyderabad,Apparel,Cotton Tee,1,699,0,240,no,online
NW-10180,2026-06-24,West,Mumbai,Apparel,Cotton Tee,6,699,0,240,no,store
